"'","'NOT_SELECTED Aces = 1","'Count and add only Aces","'3","'3","'I","'I","'2","'in","'",
"'","'NOT_SELECTED Twos = 2","'Count and add only Twos","'8","'4","'6","'4","'8","'4","'",
"'","'SELECTED Threes = 3","'Count and add only Threes","'12","'12","'6","'6","'12","'12","'",
"'","'NOT_SELECTED Fours :: = 4","'Count and add only Fours","'16","'12","'8","'8","'12","'16","'",
"'","'SELECTED Fives : = 5","'Count and add only Fives","'15","'15","'20","'10","'20","'15","'",
"'","'SELECTED Sixes = 6","'Count and add only Sixes","'24","'18","'24","'18","'18","'18","'",
"'","'TOTAL","'","'78","'64","'65","'47","'72","'68","'",
"'","'If total score BONUS is 63 or over","'SCORE 35","'35","'35","'35","'/","'35","'35","'",
"'","'TOTAL Of Upper Section","'","'113","'99","'100","'47","'107","'103","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'38.33007813","'49.73144531","'92.52929688","'89.94140625","'91.25976563","'91.74804688","'91.60156250","'90.77148438","'90.91796875","'57.91015625",
"'37.84179688","'49.07226563","'91.30859375","'88.76953125","'90.03906250","'90.52734375","'90.38085938","'89.55078125","'89.74609375","'57.12890625",
"'37.40234375","'48.51074219","'90.28320313","'87.74414063","'89.01367188","'89.50195313","'89.35546875","'88.52539063","'88.72070313","'56.49414063",
"'37.54882813","'48.70605469","'90.62500000","'88.13476563","'89.40429688","'89.84375000","'89.74609375","'88.91601563","'89.06250000","'56.73828125",
"'37.57324219","'48.73046875","'90.67382813","'88.18359375","'89.45312500","'89.89257813","'89.74609375","'88.96484375","'89.11132813","'56.73828125",
"'92.08984375","'92.08984375","'91.11328125","'88.57421875","'89.84375000","'90.33203125","'90.18554688","'89.35546875","'89.55078125","'57.03125000",
"'90.91796875","'90.91796875","'91.94335938","'89.40429688","'90.72265625","'91.16210938","'91.01562500","'90.18554688","'90.38085938","'57.56835938",
"'50.58593750","'50.58593750","'90.03906250","'87.50000000","'88.81835938","'89.25781250","'89.11132813","'88.28125000","'88.47656250","'56.34765625",
"'57.08007813","'57.08007813","'94.28710938","'91.65039063","'92.96875000","'93.45703125","'93.31054688","'92.48046875","'92.67578125","'58.98437500",
