"'Aces = 1","'Count and add only Aces","'","'4","'2","'I","'","'3",
"'Twos = 2","'Count and add only Twos","'8","'6","'6","'6","'6","'6",
"'Threes = 3","'Count and add only Threes","'6","'12","'9","'9","'12","'15",
"'Fours :: = 4","'Count and add only Fours","'12","'8","'12","'8","'16","'12",
"'Fives : = 5","'Count and add only Fives","'15","'15","'15","'10","'15","'10",
"'Sixes = 6","'Count and add only Sixes","'6","'18","'24","'18","'24","'24",
"'TOTAL","'","'48","'63","'68","'52","'74","'a 70",
"'BONUS If total score is 63 or over","'SCORE 35","'0","'35","'35","'0","'35","'35",
"'TOTAL Of Upper Section","'","'48","'98","'103","'52","'109","'1075",
,,,,,,,

'Confidence Scores % (Table Cell)
""'43.75000000","'92.23632813","'90.23437500","'89.69726563","'90.82031250","'91.45507813","'91.89453125","'91.84570313",
"'43.21289063","'91.11328125","'89.11132813","'88.62304688","'89.74609375","'90.33203125","'90.82031250","'90.77148438",
"'43.09082031","'90.82031250","'88.86718750","'88.33007813","'89.45312500","'90.03906250","'90.52734375","'90.47851563",
"'43.04199219","'90.77148438","'88.76953125","'88.23242188","'89.35546875","'89.94140625","'90.42968750","'90.38085938",
"'42.84667969","'90.33203125","'88.33007813","'87.84179688","'88.96484375","'89.55078125","'89.99023438","'89.94140625",
"'43.43261719","'91.60156250","'89.59960938","'89.06250000","'90.18554688","'90.82031250","'91.25976563","'91.21093750",
"'43.21289063","'91.11328125","'89.11132813","'88.62304688","'89.74609375","'90.33203125","'90.82031250","'90.77148438",
"'43.06640625","'90.77148438","'88.81835938","'88.28125000","'89.40429688","'89.99023438","'90.47851563","'90.42968750",
"'44.04296875","'92.87109375","'90.82031250","'90.28320313","'91.45507813","'92.04101563","'92.52929688","'92.48046875",
