"'","'NOT_SELECTED Aces = 1","'Count and add only Aces","'3","'2","'","'1","',","'1 2",
"'","'SELECTED Twos = 2","'Count and add only Twos","'2","'4","'6","'10","'6","'6",
"'","'SELECTED Threes = 3","'Count and add only Threes","'9","'12","'12","'9","'9","'9",
"'","'NOT_SELECTED Fours = 4","'Count and add only Fours","'12","'16","'12","'12","'8","'12",
"'","'SELECTED Fives = 5","'Count and add only Fives","'15","'15","'15","'is","'15","'10",
"'","'SELECTED Sixes =6","'Count and add only Sixes","'18","'24","'18","'12th","'18","'24",
"'","'TOTAL","'","'59","'70","'64","'59","'61","'63",
"'","'BONUS If total score is 63 or over","'SCORE 35","'","'35","'35","'0","'0","'35",
"'","'TOTAL Of Upper Section","'","'59","'105","'99","'59","'61","'98",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'61.42578125","'81.20117188","'93.79882813","'91.60156250","'93.11523438","'92.91992188","'92.62695313","'93.01757813","'91.94335938",
"'61.42578125","'79.44335938","'91.79687500","'89.64843750","'91.11328125","'90.91796875","'90.62500000","'91.01562500","'89.94140625",
"'61.42578125","'79.00390625","'91.25976563","'89.11132813","'90.62500000","'90.42968750","'90.08789063","'90.52734375","'89.45312500",
"'61.42578125","'78.27148438","'90.42968750","'88.28125000","'89.74609375","'89.59960938","'89.25781250","'89.69726563","'88.62304688",
"'61.42578125","'78.90625000","'91.16210938","'89.06250000","'90.52734375","'90.33203125","'89.99023438","'90.42968750","'89.35546875",
"'61.42578125","'78.02734375","'90.13671875","'88.03710938","'89.50195313","'89.30664063","'88.96484375","'89.40429688","'88.33007813",
"'61.42578125","'76.90429688","'88.86718750","'86.76757813","'88.23242188","'88.03710938","'87.74414063","'88.13476563","'87.10937500",
"'61.42578125","'76.51367188","'88.37890625","'86.32812500","'87.74414063","'87.59765625","'87.25585938","'87.64648438","'86.62109375",
"'61.42578125","'79.39453125","'91.69921875","'89.55078125","'91.01562500","'90.82031250","'90.52734375","'90.91796875","'89.89257813",
